"","baseMean","logFC","lfcSE","stat","pvalue","padj","FDR","Significance","group","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"113",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","346ef579c842ba7d51c8f48d4e79134c","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales_597441","Methylophilaceae","Methylotenera_A_557105",NA
"114",16.2380952380952,0.0147970271882206,0.121686312686153,0.121599766330206,0.903215998558042,1,1,"Not Significant","conventional","3483dc0ac98874d8b58dc72b6cfe2435","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_894219","Vicingaceae_894219","Vicingus",NA
"115",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","34c082bac1e6ce8d34804a899c93a659","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","UBA8199","UBA8199",NA
"116",2.04761904761905,-0.0588936360375752,0.324731788619701,-0.18136085871946,0.856084339584081,1,1,"Not Significant","FTPIG","34dba9c4a110fc6908bb90e800b706e3","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae_902095","Cyclobacterium",NA
"117",2.97619047619048,0.0201779300521229,0.270946541756801,0.0744719970267579,0.940634822412689,1,1,"Not Significant","conventional","355746a211a5b516dc72fb8345c08048","Bacteria","Firmicutes_A","Clostridia_258483","Peptostreptococcales","Acidaminobacteraceae","QQWI01",NA
"118",4.0952380952381,0.0780025551799063,0.231828619682204,0.336466460814174,0.736519139135989,1,1,"Not Significant","conventional","35b7838c4779dafcfa57bc5b40c5f6f6","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae_902095","Fabibacter",NA
"119",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","35c681513f4fe08c7bfefd0cbfee1956","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales_641035","Natronospirillaceae","Salinibius",NA
"120",1.04761904761905,0.152003064089706,0.438954758393733,0.346284124236243,0.729129198459161,1,1,"Not Significant","conventional","37066521d6bc7e134fa7132981b7df41","Bacteria","Proteobacteria","Gammaproteobacteria","DSM-16500","DSM-16500","SCGC-AG-212-F23",NA
"121",3,4.95621573830134e-08,0.270118281057446,1.83483165926385e-07,0.999999853601615,1,1,"Not Significant","conventional","374492855a2f8ba0a7fbf7e2f428a1ab","Bacteria","Bdellovibrionota_E","Bacteriovoracia","Bacteriovoracales","Bacteriovoracaceae","DB6-IX",NA
"122",3,4.95621573830134e-08,0.270118281057446,1.83483165926385e-07,0.999999853601615,1,1,"Not Significant","conventional","374a8658f551eedfe8e45a25ffb60cd8","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales_616050","SZUA-36","SZUA-36",NA
"123",3,4.95621573830134e-08,0.270118281057446,1.83483165926385e-07,0.999999853601615,1,1,"Not Significant","conventional","3798c7e4b666f44efa42c78236120286","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","JAAFHB01",NA
"124",6.11904761904762,-0.00327509121190444,0.190695351299539,-0.0171744680171044,0.986297430756136,1,1,"Not Significant","FTPIG","37fae6ae03fd17d5ab2bb2a12cd5cf12","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus_B_483718",NA
"125",1.97619047619048,-0.0406419342998082,0.329380690362077,-0.123388940180834,0.901799114606543,1,1,"Not Significant","FTPIG","388435783a2d7d587bb4dd21197a6ae9","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",NA
"126",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","38d52dad515343e035c6c7de75618c82","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales_A_500279","Rhizobiaceae_A_500279","Neorhizobium",NA
"127",2.97619047619048,-0.0269669960223698,0.271535465669483,-0.0993129790831612,0.920889773545751,1,1,"Not Significant","FTPIG","38fc90a232589415e1f0ed3673357fb4","Bacteria","Firmicutes_D","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"128",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","398a1c34125e3c70e28cc6ce85de7ae9","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales_592522","Burkholderiaceae_A_592522","Aquabacterium_A",NA
"129",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","39d96e147293b4a86906e5125d55c965","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales_650611","Pseudomonadaceae","Pseudomonas_A",NA
"130",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","3b37696c11053d39b87954fa54bf5d47","Bacteria","Bdellovibrionota_E","UBA2428","UBA2428","UBA2428","JAACVK01",NA
"131",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","3b41d70ebdb7d84beef30209acd612e0","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales_597441","Gallionellaceae","Gallionella",NA
"132",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","3b5b90d0bb94ad36c5df631394e8aa0b","Bacteria","Firmicutes_D","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA
"133",2,4.58142377254886e-08,0.326956593875869,1.40123302553373e-07,0.99999988819778,1,1,"Not Significant","conventional","3bdeebd3c2b4f700d62c9419fbc30098","Bacteria","Bdellovibrionota_E","Oligoflexia","Oligoflexales","Oligoflexaceae","Pseudobacteriovorax",NA
"134",2,0.0699020511190855,0.325972806547789,0.214441357422977,0.830202893134603,1,1,"Not Significant","conventional","3c0c9f52c71519f3b9d8e33bb2886eac","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales_993521","Fusobacteriaceae_993521","Fusobacterium_B",NA
"135",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","3c9b1aff3586b6d1532404b64c3910d7","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_877923","Weeksellaceae","Chryseobacterium_796614",NA
"136",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","3ca5a9a57e43528325e77ca5fdc80a77","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales_650611","Endozoicomonadaceae","Endozoicomonas",NA
"137",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","3cd363cf1bb275292314e1c7b46de583","Bacteria","Actinobacteriota","Actinomycetia","Nitriliruptorales","Nitriliruptoraceae","CSBr16-57R1",NA
"138",0.976190476190476,-0.0824621428908337,0.458939023336947,-0.179679954629378,0.857403831199232,1,1,"Not Significant","FTPIG","3cd4951e89a07fc9e927bf1d04b79e80","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","UBA4132",NA
"139",2.38095238095238,0.299560302790963,0.30077532558044,0.995960364145124,0.319269403718823,1,1,"Not Significant","conventional","3d75372ea33d81bfc0fb134f9e63c29e","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Fonsibacter",NA
"140",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","3dded9b7ea0cd16c4184cd5d740a336b","Bacteria","Firmicutes_A","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Onthomonas",NA
"141",5.76190476190476,-0.239826966618473,0.200575028642724,-1.19569703288273,0.231814809668909,1,1,"Not Significant","FTPIG","3e73786f406fc20167d14863b722eb72","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_877923","Flavobacteriaceae","UBA7446",NA
"142",1.97619047619048,0.0303736910848072,0.328359714582209,0.0925012714286629,0.926299781099553,1,1,"Not Significant","conventional","3f3eb71a883dc559fcdfd7e07a9d6c9c","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_877923","UA16","ASP10-05a",NA
"143",4.64285714285714,-0.169924946692515,0.223965774645092,-0.758709436572562,0.448026390696318,1,1,"Not Significant","FTPIG","3f45b3679e80272d6b6724da7c2d7503","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_877923","Flavobacteriaceae","Winogradskyella",NA
